,CASH,GHSEP,FTL,BCRP
534,1.0,0.751599813311031,1.026622493762613,1.259873252255873
535,1.0,0.7486472630943192,1.0306554304563458,1.2648224805257515
536,1.0,0.7591965740108089,1.0161322963737676,1.2469996602766076
537,1.0,0.768666757396256,1.0034571085251,1.2314446434763362
538,1.0,0.7764032843582502,0.993357448431822,1.2190503196760556
539,1.0,0.7753097768590788,0.9947565200753313,1.2207672632969553
540,1.0,0.7686429639458534,1.0033103340617795,1.2312645215506794
541,1.0,0.7763986527439583,0.9931868266816344,1.2188409323103722
542,1.0,0.77180594343234,0.999061924958024,1.2260508650929227
543,1.0,0.766848551305772,1.0054790065609376,1.2339259209364395
544,1.0,0.7535948686818807,1.0228570137488717,1.2552522473776946
545,1.0,0.74590596605118,1.0332931888214434,1.2680595430578652
546,1.0,0.7524264377024195,1.0242604698841826,1.2569745716563216
547,1.0,0.7503341178667946,1.0271086958242415,1.2604699204334977
548,1.0,0.7500755571803797,1.0274626313885054,1.2609042708915743
549,1.0,0.7441422607928184,1.0355901330258481,1.2708783577463099
550,1.0,0.7383946319867711,1.043588855841587,1.280694406964623
551,1.0,0.7271946198694954,1.0594180714452575,1.3001200531624653
552,1.0,0.7204809921254511,1.0691988623947912,1.3121230600883889
553,1.0,0.7013998182236583,1.0975154587392169,1.3468732458138961
554,1.0,0.7047928336486879,1.0922062374024275,1.3403577583850466
555,1.0,0.7027958457759489,1.095300937726336,1.3441555810367771
556,1.0,0.6959327216535093,1.1059970542899757,1.3572818774530393
557,1.0,0.6899663261592045,1.1154790281014506,1.3689181753673494
558,1.0,0.6808000680447531,1.130298256669967,1.3871043633829396
559,1.0,0.6742891656741172,1.1411079817911491,1.4003700804576613
560,1.0,0.6832025694444108,1.1260237171984586,1.3818586396851247
561,1.0,0.6810387587949972,1.129590012495996,1.3862352046660242
562,1.0,0.6784873197586484,1.1338219009392432,1.391428586935068
563,1.0,0.6741193409695562,1.1411212415006575,1.4003863528015474
564,1.0,0.6831667601217275,1.1258061458679849,1.381591635697718
565,1.0,0.6749616662476947,1.139327507927087,1.3981850792422104
566,1.0,0.6805159147257329,1.1299520005563506,1.3866794371648816
567,1.0,0.6845401334963588,1.1232700494783037,1.3784793329517806
568,1.0,0.6954456381780613,1.105375077097816,1.3565185857547872
569,1.0,0.6923343899940562,1.1103202460835464,1.362587307383715
570,1.0,0.6878141604354208,1.1175694922112036,1.37148359725689
571,1.0,0.6864009944685269,1.1198656228563333,1.3743014135437945
572,1.0,0.6932693568423469,1.1086598656249047,1.3605496850434435
573,1.0,0.6921401420746658,1.1104656790222898,1.3627657829875202
574,1.0,0.6908524870721376,1.1125315853320032,1.3653010674926713
575,1.0,0.6952076633017817,1.1055181183390135,1.356694126262472
576,1.0,0.687008238652107,1.1185568303505742,1.3726952606677028
577,1.0,0.6863201530770618,1.1196771412529634,1.3740701085291702
578,1.0,0.6936984895052288,1.1076399679289104,1.3592980644760637
579,1.0,0.688667192913795,1.1156735232549142,1.3691568602229898
580,1.0,0.6893419613399459,1.1145803663932283,1.3678153358565655
581,1.0,0.6859763538780869,1.1200221358027853,1.3744934865547764
582,1.0,0.6822580558288277,1.1260931557421263,1.3819438548079472
583,1.0,0.6983335059186401,1.0995600072275664,1.3493823199557302
584,1.0,0.6908077032498647,1.1114097488857253,1.3639243474795761
585,1.0,0.6902416695927484,1.1123204152285526,1.365041919102966
586,1.0,0.69342577158053,1.1071892534905146,1.358744946782777
587,1.0,0.6794834353319706,1.129450907866367,1.386064495174167
588,1.0,0.6820669526456253,1.1251565339003005,1.380794430541785
589,1.0,0.6729532206244184,1.1401907986323787,1.3992445113828145
590,1.0,0.6756146557600551,1.1356815047326456,1.3937106965625483
591,1.0,0.673356359886728,1.139477610742912,1.3983692857266057
